Resource Category,Resource Type,Taxonomic ID,Material,Count,d13C.Mean,d13C.SD,d15N.Mean,d15N.SD
C3,Forb,Achillea millefolium,leaves,5,-30.08,0.48,0.73,1.78
C3,Forb,Agastache urticifolia,leaves,6,-28.45,0.90,1.79,2.18
C3,Forb,Apiaceae,whole,1,-28.88,-,2.22,-
C3,Forb,Arnica sp.,leaves,3,-27.66,0.81,-0.66,0.82
C3,Forb,Calochortus,bud and stem,1,-27.92,-,1.67,-
C3,Forb,Castilleja sp.,leaves,7,-28.81,0.78,2.47,2.25
C3,Forb,Crepis sp.,stem and flower,1,-27.77,-,-0.76,-
C3,Forb,Croton setigerus,leaves,1,-25.47,-,4.04,-
C3,Forb,Croton setigerus,leaves and stem,1,-24.93,-,4.55,-
C3,Forb,Delphinium sp.,leaves,1,-28.32,-,-0.13,-
C3,Forb,Erigeron sp.,whole,1,-29.56,-,7.90,-
C3,Forb,Galium sp.,whole,1,-27.24,-,-1.40,-
C3,Forb,Geranium sp.,leaves,7,-28.73,0.86,2.41,0.99
C3,Forb,Geum sp.,leaves,1,-28.05,-,2.57,-
C3,Forb,Leptodactylon sp.,leaves,1,-27.66,-,-0.63,-
C3,Forb,Lupinus sp.,leaves,18,-28.00,0.67,0.75,0.79
C3,Forb,Penstemon sp.,leaves,6,-27.47,1.00,0.61,1.06
C3,Forb,Pershia sp.,leaves,1,-26.48,-,3.48,-
C3,Forb,Polygonum bistortoides,leaves,1,-28.99,-,-1.45,-
C3,Forb,Potentilla sp.,leaves,10,-27.75,1.02,0.18,2.01
C3,Forb,Rumex,buds and stem,1,-26.32,-,7.55,-
C3,Forb,Taraxacum sp.,whole,1,-29.54,-,1.86,-
C3,Forb,unidentified forb,leaves and buds,1,-27.51,-,0.07,-
C3,Forb,Urtica gracilis,leaves and buds,1,-26.82,-,6.23,-
C3,Grass,Bromus tectorum,leaves and stem,5,-26.48,0.86,3.62,3.30
C3,Grass,Bromus tectorum,seeds,4,-26.09,0.95,4.05,1.27
